iter	Passed	Remaining
0	163	163727
1	166	83115
2	169	56319
3	172	42988
4	175	34977
5	178	29646
6	181	25801
7	184	22830
8	186	20514
9	191	18987
10	194	17515
11	197	16258
12	199	15163
13	202	14249
14	207	13593
15	209	12906
16	212	12271
17	214	11706
18	216	11186
19	221	10864
20	224	10474
21	226	10085
22	229	9730
23	230	9382
24	233	9108
25	236	8861
26	238	8601
27	240	8348
28	242	8110
29	243	7871
30	244	7651
31	245	7439
32	248	7282
33	250	7125
34	252	6959
35	253	6799
36	255	6646
37	256	6492
38	257	6345
39	258	6215
40	260	6081
41	261	5953
42	263	5867
43	265	5763
44	266	5660
45	268	5559
46	269	5461
47	270	5362
48	271	5265
49	272	5183
50	273	5092
51	274	5005
52	275	4922
53	276	4845
54	279	4798
55	280	4731
56	281	4662
57	282	4595
58	284	4529
59	284	4462
60	285	4398
61	286	4333
62	287	4270
63	287	4210
64	288	4151
65	289	4094
66	290	4047
67	290	3988
68	291	3936
69	293	3895
70	294	3857
71	295	3812
72	296	3768
73	297	3724
74	298	3681
75	299	3637
76	299	3595
77	300	3552
78	301	3511
79	301	3470
80	302	3431
81	303	3393
82	303	3357
83	304	3322
84	305	3284
85	305	3251
86	306	3217
87	307	3184
88	308	3159
89	310	3141
90	314	3145
91	318	3144
92	320	3130
93	323	3114
94	325	3098
95	327	3081
96	332	3098
97	334	3082
98	336	3065
99	338	3050
100	341	3035
101	342	3011
102	345	3005
103	347	2992
104	349	2978
105	351	2960
106	352	2942
107	354	2925
108	355	2906
109	357	2890
110	359	2877
111	360	2861
112	362	2846
113	364	2830
114	365	2814
115	367	2799
116	368	2783
117	370	2767
118	374	2770
119	375	2756
120	377	2740
121	378	2723
122	379	2703
123	380	2687
124	381	2670
125	382	2653
126	383	2635
127	383	2614
128	384	2598
129	386	2583
130	389	2581
131	390	2567
132	391	2553
133	393	2539
134	394	2525
135	395	2509
136	395	2493
137	396	2476
138	397	2461
139	398	2445
140	398	2429
141	399	2414
142	400	2399
143	401	2388
144	403	2377
145	404	2366
146	405	2353
147	406	2341
148	407	2329
149	408	2315
150	409	2303
151	410	2289
152	411	2276
153	411	2262
154	412	2249
155	413	2236
156	414	2223
157	414	2210
158	415	2197
159	417	2193
160	419	2184
161	420	2175
162	421	2164
163	422	2153
164	423	2142
165	424	2132
166	425	2120
167	425	2108
168	426	2097
169	427	2086
170	428	2075
171	428	2064
172	429	2053
173	430	2041
174	430	2030
175	433	2029
176	435	2022
177	436	2013
178	437	2005
179	438	1995
180	439	1987
181	440	1978
182	440	1967
183	441	1958
184	442	1948
185	443	1938
186	443	1929
187	444	1919
188	445	1909
189	445	1900
190	448	1900
191	450	1894
192	451	1886
193	452	1879
194	453	1871
195	454	1862
196	454	1853
197	455	1844
198	456	1835
199	456	1826
200	457	1818
201	457	1809
202	458	1800
203	459	1792
204	460	1784
205	460	1775
206	461	1768
207	464	1768
208	465	1762
209	466	1756
210	467	1749
211	468	1742
212	469	1734
213	470	1726
214	470	1719
215	471	1711
216	472	1704
217	473	1696
218	473	1689
219	474	1681
220	474	1674
221	475	1666
222	476	1659
223	477	1653
224	479	1652
225	480	1646
226	481	1640
227	482	1633
228	483	1627
229	484	1621
230	484	1614
231	485	1607
232	486	1601
233	487	1594
234	487	1587
235	488	1581
236	489	1574
237	489	1568
238	490	1561
239	493	1562
240	494	1557
241	495	1552
242	496	1546
243	497	1541
244	498	1536
245	499	1531
246	500	1526
247	501	1521
248	502	1516
249	503	1510
250	504	1504
251	504	1498
252	505	1493
253	508	1492
254	509	1488
255	510	1482
256	511	1477
257	511	1471
258	512	1466
259	513	1460
260	513	1455
261	514	1450
262	516	1446
263	516	1440
264	517	1436
265	518	1431
266	519	1426
267	520	1421
268	521	1416
269	522	1411
270	523	1407
271	523	1402
272	525	1399
273	526	1395
274	527	1390
275	528	1386
276	529	1382
277	530	1378
278	531	1373
279	532	1368
280	532	1363
281	533	1358
282	534	1353
283	535	1349
284	535	1344
285	537	1341
286	538	1336
287	539	1332
288	539	1328
289	540	1324
290	541	1319
291	542	1315
292	543	1311
293	544	1308
294	545	1303
295	546	1299
296	547	1295
297	547	1290
298	548	1286
299	549	1282
300	550	1278
301	551	1275
302	553	1272
303	554	1268
304	555	1265
305	556	1261
306	557	1257
307	558	1254
308	559	1250
309	560	1246
310	560	1242
311	561	1238
312	562	1234
313	563	1231
314	564	1227
315	565	1223
316	565	1219
317	567	1217
318	568	1213
319	569	1210
320	570	1206
321	571	1202
322	571	1198
323	572	1194
324	573	1190
325	574	1187
326	575	1183
327	576	1180
328	577	1176
329	577	1173
330	578	1169
331	579	1166
332	580	1162
333	581	1158
334	582	1156
335	583	1153
336	584	1150
337	585	1147
338	586	1143
339	587	1140
340	588	1137
341	589	1134
342	590	1131
343	591	1127
344	592	1124
345	592	1120
346	593	1117
347	594	1113
348	595	1110
349	596	1106
350	598	1105
351	599	1102
352	600	1099
353	600	1096
354	601	1093
355	602	1089
356	603	1086
357	603	1082
358	604	1079
359	605	1076
360	606	1073
361	607	1070
362	608	1068
363	609	1065
364	610	1061
365	610	1058
366	612	1056
367	613	1053
368	614	1051
369	615	1048
370	616	1045
371	617	1042
372	618	1040
373	620	1037
374	621	1035
375	622	1032
376	623	1029
377	623	1026
378	624	1023
379	625	1020
380	626	1017
381	627	1015
382	628	1013
383	629	1009
384	630	1006
385	631	1004
386	632	1001
387	633	999
388	635	998
389	637	996
390	638	993
391	638	991
392	639	988
393	640	985
394	642	983
395	643	981
396	644	979
397	647	978
398	648	976
399	649	974
400	651	972
401	652	970
402	653	968
403	655	966
404	655	963
405	658	962
406	658	959
407	660	958
408	661	955
409	662	953
410	663	950
411	663	947
412	664	944
413	665	942
414	666	939
415	667	936
416	668	935
417	669	932
418	670	929
419	671	926
420	672	924
421	673	922
422	674	920
423	675	918
424	676	915
425	677	913
426	678	910
427	679	908
428	680	906
429	681	903
430	682	901
431	683	898
432	684	895
433	685	893
434	686	891
435	689	891
436	690	889
437	691	887
438	692	884
439	693	882
440	693	879
441	694	877
442	695	874
443	696	872
444	697	869
445	698	867
446	699	864
447	700	862
448	701	860
449	702	858
450	703	856
451	704	854
452	705	852
453	706	850
454	708	848
455	709	846
456	710	843
457	710	841
458	711	839
459	712	836
460	713	834
461	714	831
462	715	829
463	715	827
464	716	824
465	718	822
466	719	820
467	720	818
468	721	816
469	721	814
470	722	811
471	723	809
472	724	806
473	724	804
474	725	802
